Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),CfD Allocation Round,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref
01015W4,2549,03/08/2005,Ecotricity,Stockton Wind Turbine,Wind Onshore,,,1.50,,,,,,,2,,,Planning Permission Refused,Application Refused,,,"East of Layden Lane
Track
Norwich
Norfolk",Norfolk,Eastern,England,,639100,293300,South Norfolk Council,07/98/0343/f,,,,,,09/03/1998,,02/05/2001,,,,,,,,,,,,
01016W4,2550,02/05/2006,Western Windpower / Ecotricity,Brundish Wind Turbine,Wind Onshore,,,1.50,,,,,,,,,,Planning Permission Refused,Application Refused,,,East of Brundish Road Stockton Norfolk,Norfolk,Eastern,England,,639700,294700,South Norfolk Council,07/98/0342/F,,,,,,09/03/1998,,02/05/2001,,,,,,,,,,,,
01022W5,2554,27/10/2009,ECONET LTD,Yare Estuary Wind Turbine,Wind Onshore,,,1.50,,,,,,0.37,4,,,Abandoned,Abandoned,,,"South Denes Road, Great Yarmouth, Norfolk",Norfolk,Eastern,England,,653400,303800,Great Yarmouth Borough Council,,,,,,,21/05/1999,,,,,,,28/04/2000,,,,,,,
01023W5,2555,09/05/2013,Ecotricity,South Beach Wind Turbine (Somerton),Wind Onshore,,,1.50,,,,,,1.47,1,,,Operational,Operational,,,"Somerton, Great Yarmouth, Norfolk",Norfolk,Eastern,England,,646953,318736,Great Yarmouth Borough Council,,,,,,,21/05/1999,,28/04/2000,,,,,,,,,,,22/07/2000,
01038W4,2556,04/12/2008,LRZ Ltd (Taken over by NOVERA),Swaffham 1 - Ecotech Wind Park,Wind Onshore,,,1.50,,,,,,1.47,1,,,Operational,Operational,,,"East of West Acre Road
Swaffham
Norfolk",Norfolk,Eastern,England,,581585,309935,Breckland Council,,,,,,,02/03/1998,,,,,,,19/02/1999,,,,,,16/08/1999,
04011W3,2559,18/05/2006,Cynllun Trydan Gwynt,Mynydd Gorddu Wind Farm,Wind Onshore,,,10.20,,,,,,0.54,19,,,Operational,Operational,,,Mynydd Gorddu Elerch Tal-y-Bont Dyfed,Dyfed,Wales,Wales,,266200,287200,Ceredigion County Council,,,,,,,04/01/1991,,,,,,,12/09/1991,,,,,,18/04/1998,
04022W4,2560,09/12/2003,Powergen Renewables Developments Ltd,Nant Carfan Wind Farm,Wind Onshore,,,20.80,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Machynlleth
Powys",Powys,Wales,Wales,,290400,308000,Powys County Council,,,,,,,20/04/1999,,23/05/2002,,,,,,,,,,,,
04029W5,2561,29/06/2011,CELTPOWER LTD,Hirddywell Windfarm,Wind Onshore,,,14.80,,,,,,,,,,Planning Application Withdrawn,Application Withdrawn,,,"Southwest Of Newtown, nr Llangurig, Powys",Powys,Wales,Wales,,302500,280000,Powys County Council,M/2000/0705,,,,,,30/08/2000,20/04/2007,,,,,,,,,,,,,
04043W4,2563,22/04/2009,"Renewable Development Company Ltd, KENTECH Ltd",Cefn Croes Wind Farm,Wind Onshore,,,58.50,,,,,,1.50,39,,,Operational,Operational,,,"Canolbarth Forest,  Devils Bridge  Ceredigion",Dyfed,Wales,Wales,,281000,280000,DECC (S36),AD00737,,,,,,24/07/2000,,,,,,,10/12/2001,,,,,,25/01/2005,
04050W3,2564,30/10/2011,RWE npower,Carno 'B' Wind Farm,Wind Onshore,,,16.80,,,,,,0.60,28,,,Operational,Operational,,,"Trannon Moor, Carno, Powys",Powys,Wales,Wales,,291053,295836,Powys County Council,,,,,,,30/12/1993,,,,,,,18/08/1995,,,,,,01/10/1996,
04051W3,2565,30/10/2011,RWE npower,Carno 'A' Wind Farm,Wind Onshore,,,16.80,,,,,,0.60,28,,,Operational,Operational,,,"Cwm Cledan
Carno
Powys",Powys,Wales,Wales,,293000,295000,Powys County Council,,,,,,,16/08/1993,,,,,,,18/08/1995,,,,,,01/10/1996,
04053W3,2566,03/02/2010,Vestas,Cemmaes 'B' Wind Farm,Wind Onshore,,,3.40,,,,,,0.56,6,,,Operational,Operational,,,"Mynydd y Cemmaes
Cemmaes
Machynlleth
Powys",Powys,Wales,Wales,,287000,308000,Powys County Council,M/1996/0550,,,,,,04/09/1996,,,,,,,16/03/1999,,,,,,01/02/2002,
04054W3,2567,09/12/2003,RWE npower,Trysglwyn Wind Farm,Wind Onshore,,,5.60,,,,,,0.40,14,,,Operational,Operational,,,"Trysglwyn Fawr
Rhosybol
Isle of Anglesey
Gwynedd",Gwynedd,Wales,Wales,,244000,389000,Isle of Anglesey County Council,,,,,,,08/08/1992,,10/12/1993,,,,,,,,,,,01/05/1996,
04057W4,2568,03/10/2018,Private Developer,Hafoty Ucha '2' and '3' Wind Turbine,Wind Onshore,,,2.60,,,,,,0.85,3,,,Operational,Operational,,,"3 km South of Cerrigydrudion
Llangwm",Clwyd,Wales,Wales,,293500,345500,Conwy County Borough Council,0/25079,,,,,,02/07/2001,,,,,,,17/10/2001,,,,,,15/12/2002,
