,ncformat,ipcc_code,ipcc_name,sourcename,crf,old_sg_name,ccp_category,pollutant,emission_year,mt_co2e,base_level
1,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,1990,0.000887435,0.000887435
2,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,1995,0.000777936,0.000887435
3,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,1998,0.000612359,0.000887435
4,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,1999,0.000585291,0.000887435
5,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2000,0.000599644,0.000887435
6,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2001,0.000586821,0.000887435
7,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2002,0.000603465,0.000887435
8,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2003,0.000614955,0.000887435
9,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2004,0.000668684,0.000887435
10,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2005,0.000705348,0.000887435
11,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2006,0.000611088,0.000887435
12,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2007,0.000576215,0.000887435
13,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2008,0.000732366,0.000887435
14,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2009,0.000575045,0.000887435
15,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2010,0.000833857,0.000887435
16,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2011,0.000688076,0.000887435
17,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2012,0.000768906,0.000887435
18,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2013,0.001175113,0.000887435
19,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2014,0.001686506,0.000887435
20,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2015,0.003057596,0.000887435
21,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2016,0.002814984,0.000887435
22,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2017,0.003305803,0.000887435
23,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2018,0.003389005,0.000887435
24,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2019,0.003323501,0.000887435
25,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CH4,2020,0.003200819,0.000887435
27,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,1990,0.065991951,0.065991951
28,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,1995,0.081601009,0.065991951
29,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,1998,0.056114467,0.065991951
30,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,1999,0.064583999,0.065991951
31,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2000,0.051601712,0.065991951
32,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2001,0.073992407,0.065991951
33,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2002,0.070701081,0.065991951
34,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2003,0.07117748,0.065991951
35,Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2004,0.070802273,0.065991951
