,user_screen_name,username,timestamp,text,sentiment,embedded_text,emojis,comments,likes,retweets,image_link,tweet_url
4599,"Mina, Keyboard Warrior Princess",@KeyboardMina,2022-04-29T22:50:22.000Z,"Mina, Keyboard Warrior Princess
@KeyboardMina
·
Apr 30",0,do you ever wonder why the greens cant be a bigger force in auspol probably because they want to tax billionaires  deal with climate change (which will mean some discomfort for billionaires) ,👑,0,0,19,,https://twitter.com/KeyboardMina/status/1520173675353296897
3009,Scruffymurphy. Minister for Surfing,@Scruffymurphy2,2022-03-25T21:31:05.000Z,"Scruffymurphy. Minister for Surfing
@Scruffymurphy2
·
Mar 25",1,"replying to    and   this is not only about climate change its also about peter duttons excessive racism first he highlights ""island time"" then insults our indigenous in cape york then the papua new guinea people and the pacific nations peoples a racist pig of the lowest order    ",🏄,12,53,174,,https://twitter.com/Scruffymurphy2/status/1507470147044651010
7817,AmericanBoat (“A-Boat”),@AAmericanboat,2022-07-10T23:10:37.000Z,"AmericanBoat (“A-Boat”)
@AAmericanboat
·
Jul 11",1, you do know that ‘climate  changeis just one more commie dem control thing  not real …  //thehill com/policy/energy environment/ is federal government dooming efforts to address climate change utm_source=hill_app utm_medium=social utm_content=share link  ,,0,8,7,,https://twitter.com/AAmericanboat/status/1546270698808778754
100,James Climate Crisis,@JamesClimateGuy,2022-01-19T22:17:29.000Z,"James Climate Crisis
@JamesClimateGuy
·
Jan 19",1,roaches are designed for survival compared to them we are barely hanging on so unless climate change is reversed we may be heading toward a planet where cockroaches are the dominant species who are the roaches popsci com if people were cockroaches adapting to climate change would be easy the cockroach is among the most adaptable animals on the planet will it weather climate change unfazed ,🤪,5,46,52,['https://pbs.twimg.com/card_img/1549243820306563072/ut9MxmbG?format=jpg&name=small'],https://twitter.com/JamesClimateGuy/status/1483926615939858441
125,Josh Hersh,@joshuahersh,2022-01-19T23:23:58.000Z,"Josh Hersh
@joshuahersh
·
Jan 20",2,tonights episode is a special hour long look at how extreme weather and climate change are forcing just about everyone to think differently about how we live tune in quote tweet vice news   · jan  one recent wildfire destroyed more than  homes in suburban boulder county colorado we talk with people rethinking how we should live as wildfire season expands  pm et on  ,,0,1,10,"['https://pbs.twimg.com/profile_images/1233501220351938561/EDFKNAdi_normal.png', 'https://pbs.twimg.com/media/FJf7wmqWUAM-kKM.jpg']",https://twitter.com/joshuahersh/status/1483943344896151555
1045,zach zimmerman,@zzdoublezz,2022-02-10T23:40:32.000Z,"zach zimmerman
@zzdoublezz
·
Feb 11",1,whats fun about the looming doom of climate change is whenever theres unseasonable nice weather its laced with sadness metaphor for life methinks  ,,0,1,18,,https://twitter.com/zzdoublezz/status/1491920048080007168
437,Aram Zucker-Scharff,@Chronotope,2022-01-26T21:39:22.000Z,"Aram Zucker-Scharff
@Chronotope
·
Jan 26",1,big tech bro energy is moving your company into a state that will absolutely suffer terribly from climate change and that is actively attempting to prevent women from getting proper healthcare with no accounting for either ,,2,1,11,,https://twitter.com/Chronotope/status/1486453735656235015
1726,Sherman Peppers,@shermanpeppers1,2022-02-25T22:22:59.000Z,"Sherman Peppers
@shermanpeppers1
·
Feb 25",1,replying to   beautifully written even as an american i feel responsible we(because of climate change madness) import tons of oil from russia it is insanity we can produce our own and we could supply europe with natural gas and not make them dependent on russia we are all culpable  ,,2,0,27,,https://twitter.com/shermanpeppers1/status/1497336348633665538
4099,Mike,@Not_Kissinger,2022-04-18T23:19:13.000Z,"Mike
@Not_Kissinger
·
Apr 19",1,political “experts” i dont understand why biden is losing support with the  demographic    year olds you promised student loan relief and action on climate change and have delivered nothing oh and we may never be able to afford homes in many states quote tweet faine greenwood   · apr  i remain amazed at how often young peoples worries about affording housing are met with “sneers” or “lectures about how its actually not that bad and you kids should stop whining” twitter com/milesperhoward…   ,,1,6,24,['https://pbs.twimg.com/profile_images/802383084557582336/Ruy5hUWa_normal.jpg'],https://twitter.com/Not_Kissinger/status/1516194667834101767
6369,Grata Fund,@GrataFund,2022-06-09T23:39:21.000Z,"Grata Fund
@GrataFund
·
Jun 10",1,day two of uncle pabai and uncle pauls trip badu island theyre getting the word out about the australian climate case and finding out from people how climate change is already affecting them ,,0,7,18,['https://pbs.twimg.com/media/FU2RpJvUYAEGLYs?format=jpg&name=small'],https://twitter.com/GrataFund/status/1535043905971818496
937,Kurt Schlichter,@KurtSchlichter,2022-02-08T23:51:59.000Z,"Kurt Schlichter
@KurtSchlichter
·
Feb 9",-1,climate change is a hoax now heres a squirrel ,,11,23,237,['https://pbs.twimg.com/media/FLHM0OmVQAMV5Fc?format=jpg&name=small'],https://twitter.com/KurtSchlichter/status/1491198151298289666
7307,The Wall Street Journal,@WSJ,2022-06-29T23:00:05.000Z,"The Wall Street Journal
@WSJ
·
Jun 30",2, listen in todays episode of the journal podcast explains why the u s and nations in europe have lost some of their expertise in building nuclear power plants causing delays as concerns grow over climate change and high oil prices wsj com is nuclear power poised for a comeback  the journal  wsj podcasts as concerns grow over climate change and high oil prices the u s and europe are starting to build new nuclear power plants after decades of favoring other energy sources wsjs matthew dalton ,🎧,5,5,20,['https://pbs.twimg.com/card_img/1547830674710822912/AETpGArA?format=jpg&name=240x240'],https://twitter.com/WSJ/status/1542281782749384704
